,UniPROBE:DEV12:Abd-B,UniPROBE:DEV12:Bap,UniPROBE:DEV12:Eve,UniPROBE:DEV12:Lbl,UniPROBE:DEV12:Msh,UniPROBE:DEV12:Ptx1,UniPROBE:DEV12:Six4,UniPROBE:DEV12:Slou,UniPROBE:DEV12:Tin,UniPROBE:DEV12:Ubx,UniPROBE:GB11:Abf1,UniPROBE:GB11:Cad1,UniPROBE:GB11:Cin5,UniPROBE:GB11:Cst6,UniPROBE:GB11:Ecm22,UniPROBE:GB11:Gcr1,UniPROBE:GB11:Hac1,UniPROBE:GB11:Hap1,UniPROBE:GB11:Hmlalpha2,UniPROBE:GB11:Mot3,UniPROBE:GB11:Msn1,UniPROBE:GB11:Nrg2,UniPROBE:GB11:Pdr3,UniPROBE:GB11:Sko1,UniPROBE:GB11:Stb4,UniPROBE:GB11:Stb5,UniPROBE:GB11:Ste12,UniPROBE:GB11:Stp1,UniPROBE:GB11:Sut1,UniPROBE:GB11:Upc2,UniPROBE:GB11:Vhr1,UniPROBE:GB11:Vhr2,UniPROBE:GB11:Yap3,UniPROBE:GB11:Ybr033w,UniPROBE:GB11:Yer184c,UniPROBE:GB11:Ylr278c,UniPROBE:GB11:Zap1,UniPROBE:LIU18A:BCL11A_23,UniPROBE:LIU18A:BCL11A_456,UniPROBE:LIU18A:BCL11A_XL,UniPROBE:LIU18A:BCL11A_d23d456,UniPROBE:LIU18A:BCL11B_23,UniPROBE:LIU18A:BCL11B_456,UniPROBE:LIU18A:BCL11B_XL,UniPROBE:NAR10:GCN4,UniPROBE:NAR10:Jun_Fos,UniPROBE:NAR11:HLH-1,UniPROBE:NAR11:HLH-1_L13R,UniPROBE:NAR11:HLH-1_L13T,UniPROBE:NAR11:HLH-1_L13V,UniPROBE:NBT06:CEH-22,UniPROBE:NBT06:Cbf1,UniPROBE:NBT06:Ceh-22,UniPROBE:NBT06:Oct-1,UniPROBE:NBT06:Rap1,UniPROBE:NBT06:Zif268,UniPROBE:PNAS12:Lmd
UniPROBE:GB11:Abf1,0.0446521287642783,0.06311207834602829,0.035637149028077755,0.0440324449594438,0.051829268292682924,0.06045589692765114,0.0364963503649635,0.0827906976744186,0.044257112750263436,0.04471101417666303,1.0,0.04870466321243523,0.05336426914153132,0.09245283018867924,0.09457236842105263,0.08463434675431389,0.03151515151515152,0.054380664652567974,0.043092522179974654,0.08061002178649238,0.05603448275862069,0.029556650246305417,0.08302986161689731,0.10953729933899906,0.08782287822878229,0.0875,0.06276505513146735,0.07439613526570048,0.057176196032672114,0.08422664624808576,0.07788719785138765,0.059628543499511244,0.0661345496009122,0.07263389581804842,0.065149136577708,0.09935897435897435,0.07978311386522076,0.07008964955175224,0.07008964955175224,0.07008964955175224,0.07008964955175224,0.06645817044566067,0.06645817044566067,0.06645817044566067,0.0533175355450237,0.033632286995515695,0.04820627802690583,0.04820627802690583,0.04820627802690583,0.04820627802690583,0.038802660753880266,0.04374240583232078,0.038802660753880266,0.05248868778280543,0.028205128205128206,0.055165496489468405,0.04065934065934066
UniPROBE:GB11:Cad1,0.030707610146862484,0.03626220362622036,0.034236804564907276,0.03571428571428571,0.047058823529411764,0.05555555555555555,0.05409153952843273,0.06164383561643835,0.038408779149519894,0.024045261669024046,0.04870466321243523,1.0,0.043343653250773995,0.047619047619047616,0.07654563297350343,0.04826254826254826,0.028333333333333332,0.040973111395646605,0.0351493848857645,0.03551912568306011,0.04628330995792426,0.032590051457975985,0.054713804713804715,0.07420091324200913,0.06896551724137931,0.054133858267716536,0.04512820512820513,0.04275534441805225,0.04024767801857585,0.06871609403254973,0.050920910075839654,0.046798029556650245,0.044709388971684055,0.06412478336221837,0.05743879472693032,0.05559515324305061,0.056466302367941715,0.05680705190989226,0.05680705190989226,0.05680705190989226,0.05680705190989226,0.064030131826742,0.064030131826742,0.064030131826742,0.029874213836477988,0.04400606980273141,0.04626865671641791,0.04626865671641791,0.04626865671641791,0.04626865671641791,0.04148148148148148,0.03820598006644518,0.04148148148148148,0.036830357142857144,0.038391224862888484,0.05821474773609314,0.04852941176470588
UniPROBE:GB11:Cin5,0.038880248833592534,0.037337662337662336,0.045454545454545456,0.023636363636363636,0.029542097488921712,0.053237410071942444,0.03470031545741325,0.05897435897435897,0.04146730462519936,0.03678929765886288,0.05336426914153132,0.043343653250773995,1.0,0.04591836734693878,0.053022269353128315,0.03805496828752643,0.053388090349075976,0.05037037037037037,0.04525862068965517,0.04807692307692308,0.038834951456310676,0.026804123711340205,0.05316223648029331,0.07307692307692308,0.039341262580054895,0.029818956336528223,0.04452054794520548,0.032,0.028985507246376812,0.06732673267326733,0.057387057387057384,0.05965909090909091,0.04553415061295972,0.052434456928838954,0.03873598369011213,0.05355776587605203,0.04554455445544554,0.05177993527508091,0.05177993527508091,0.05177993527508091,0.05177993527508091,0.0577319587628866,0.0577319587628866,0.0577319587628866,0.049523809523809526,0.044722719141323794,0.036458333333333336,0.036458333333333336,0.036458333333333336,0.036458333333333336,0.03993055555555555,0.03373015873015873,0.03993055555555555,0.0403530895334174,0.024282560706401765,0.04538799414348463,0.044596912521440824
UniPROBE:GB11:Cst6,0.06127167630057803,0.05959475566150179,0.048134777376654635,0.043645699614890884,0.0592841163310962,0.0755750273822563,0.041379310344827586,0.08358509566968782,0.06485849056603774,0.04693140794223827,0.09245283018867924,0.047619047619047616,0.04591836734693878,1.0,0.09515418502202644,0.08930150309460655,0.04807692307692308,0.06201550387596899,0.04403409090909091,0.07747318235995232,0.07082833133253301,0.02888583218707015,0.07947530864197531,0.09908998988877654,0.06615384615384616,0.08177777777777778,0.07077205882352941,0.05567010309278351,0.06649282920469361,0.08231458842705787,0.07618129218900675,0.07096774193548387,0.0547945205479452,0.07764705882352942,0.0699831365935919,0.10006761325219743,0.08471760797342193,0.062445793581960105,0.062445793581960105,0.062445793581960105,0.062445793581960105,0.07679324894514768,0.07679324894514768,0.07679324894514768,0.04161248374512354,0.06513409961685823,0.04310344827586207,0.04310344827586207,0.04310344827586207,0.04310344827586207,0.05334987593052109,0.044715447154471545,0.05334987593052109,0.05392156862745098,0.027338129496402876,0.0640176600441501,0.05269607843137255
UniPROBE:GB11:Ecm22,0.059223300970873784,0.06626506024096386,0.06639427987742594,0.05793991416309013,0.07485604606525911,0.07541899441340782,0.0641025641025641,0.09369527145359019,0.06852035749751738,0.04718875502008032,0.09457236842105263,0.07654563297350343,0.053022269353128315,0.09515418502202644,1.0,0.10282574568288853,0.043478260869565216,0.06091846298031865,0.03416856492027335,0.08678102926337034,0.065,0.039503386004514675,0.10393258426966293,0.10915492957746478,0.09634317862165963,0.0936270653029111,0.07125700560448359,0.07162041181736795,0.03878406708595388,0.26559865092748736,0.11216566005176877,0.06953339432753888,0.05371900826446281,0.09174311926605505,0.07934131736526946,0.11731843575418995,0.09151291512915129,0.080370942812983,0.080370942812983,0.080370942812983,0.080370942812983,0.08702175543885972,0.08702175543885972,0.08702175543885972,0.04843918191603875,0.07470651013874066,0.05154639175257732,0.05154639175257732,0.05154639175257732,0.05154639175257732,0.07240293809024134,0.03736263736263736,0.07240293809024134,0.07401032702237521,0.02424942263279446,0.07874762808349146,0.0672182006204757
UniPROBE:GB11:Gcr1,0.058823529411764705,0.06592292089249494,0.04554655870445344,0.059782608695652176,0.07565470417070805,0.07518796992481203,0.052216748768472904,0.0907488986784141,0.06287425149700598,0.04665314401622718,0.08463434675431389,0.04826254826254826,0.03805496828752643,0.08930150309460655,0.10282574568288853,1.0,0.03236607142857143,0.06255924170616113,0.04060324825986079,0.06281156530408774,0.06680161943319839,0.032917139614074914,0.09620786516853932,0.1161751563896336,0.10177935943060498,0.1005586592178771,0.07886178861788617,0.07233273056057866,0.05945945945945946,0.10452186805040771,0.08121827411167512,0.06531738730450783,0.057651991614255764,0.09792709077912795,0.09070121951219512,0.11256218905472637,0.0947054436987323,0.07436096049573973,0.07436096049573973,0.07436096049573973,0.07436096049573973,0.07715355805243446,0.07715355805243446,0.07715355805243446,0.05824175824175824,0.05396825396825397,0.046680497925311204,0.046680497925311204,0.046680497925311204,0.046680497925311204,0.053125,0.03897550111358575,0.053125,0.06454388984509467,0.03914590747330961,0.07648183556405354,0.05149330587023687
UniPROBE:GB11:Hac1,0.03209459459459459,0.04864864864864865,0.04251386321626617,0.0326530612244898,0.054365733113673806,0.04489164086687306,0.032758620689655175,0.05342465753424658,0.04013961605584642,0.02737226277372263,0.03151515151515152,0.028333333333333332,0.053388090349075976,0.04807692307692308,0.043478260869565216,0.03236607142857143,1.0,0.05161290322580645,0.03631961259079903,0.03826086956521739,0.03723404255319149,0.013793103448275862,0.04597701149425287,0.045576407506702415,0.041505791505791506,0.04838709677419355,0.0425273390036452,0.036127167630057806,0.044989775051124746,0.03340080971659919,0.05201560468140442,0.04393939393939394,0.02857142857142857,0.05019685039370079,0.03552206673842842,0.047619047619047616,0.0438871473354232,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04983748645720477,0.04983748645720477,0.04983748645720477,0.05555555555555555,0.03944773175542406,0.05058365758754864,0.05058365758754864,0.05058365758754864,0.05058365758754864,0.04230769230769231,0.04740406320541761,0.04230769230769231,0.025367156208277702,0.022613065326633167,0.0330188679245283,0.03564727954971857
UniPROBE:GB11:Hap1,0.037275064267352186,0.03871829105473965,0.0453920220082531,0.044642857142857144,0.06091370558375635,0.04561824729891957,0.0311284046692607,0.06277533039647577,0.05459387483355526,0.03125,0.054380664652567974,0.040973111395646605,0.05037037037037037,0.06201550387596899,0.06091846298031865,0.06255924170616113,0.05161290322580645,1.0,0.04,0.03389830508474576,0.03994673768308921,0.027419354838709678,0.05747126436781609,0.07607497243660419,0.046798029556650245,0.07170542635658915,0.052947052947052944,0.056712962962962965,0.058383233532934134,0.06660823838737949,0.056782334384858045,0.07013301088270858,0.02937062937062937,0.08226221079691516,0.05850091407678245,0.06311360448807854,0.05752212389380531,0.05392620624408704,0.05392620624408704,0.05392620624408704,0.05392620624408704,0.05812897366030881,0.05812897366030881,0.05812897366030881,0.045454545454545456,0.034334763948497854,0.03954802259887006,0.03954802259887006,0.03954802259887006,0.03954802259887006,0.04384724186704385,0.03937007874015748,0.04384724186704385,0.04329004329004329,0.02901023890784983,0.06359102244389027,0.02606310013717421
UniPROBE:GB11:Hmlalpha2,0.017452006980802792,0.025925925925925925,0.03076923076923077,0.02575107296137339,0.02512562814070352,0.03189792663476874,0.02697841726618705,0.027739251040221916,0.028985507246376812,0.01904761904761905,0.043092522179974654,0.0351493848857645,0.04525862068965517,0.04403409090909091,0.03416856492027335,0.04060324825986079,0.03631961259079903,0.04,1.0,0.012455516014234875,0.02389705882352941,0.0325,0.046214355948869225,0.05322128851540616,0.04265873015873016,0.035211267605633804,0.03620474406991261,0.0392156862745098,0.034261241970021415,0.045263157894736845,0.04411764705882353,0.0328125,0.04065040650406504,0.04527162977867203,0.03433001107419712,0.045307443365695796,0.035181236673773986,0.031286210892236384,0.031286210892236384,0.031286210892236384,0.031286210892236384,0.03406593406593406,0.03406593406593406,0.03406593406593406,0.04484304932735426,0.033126293995859216,0.026052104208416832,0.026052104208416832,0.026052104208416832,0.026052104208416832,0.01984126984126984,0.0405727923627685,0.01984126984126984,0.024930747922437674,0.024324324324324326,0.029459901800327332,0.029469548133595286
UniPROBE:GB11:Mot3,0.07736389684813753,0.05393586005830904,0.044444444444444446,0.03354632587859425,0.06258503401360545,0.06388526727509779,0.05563480741797432,0.08591885441527446,0.07748538011695906,0.052316890881913304,0.08061002178649238,0.03551912568306011,0.04807692307692308,0.07747318235995232,0.08678102926337034,0.06281156530408774,0.03826086956521739,0.03389830508474576,0.012455516014234875,1.0,0.059854014598540145,0.02464788732394366,0.05565068493150685,0.08608490566037735,0.06086956521739131,0.05628140703517588,0.0438871473354232,0.043795620437956206,0.03328050713153724,0.06998158379373849,0.07832009080590238,0.04271356783919598,0.042879019908116385,0.055944055944055944,0.04253308128544423,0.07982261640798226,0.0764872521246459,0.05583250249252243,0.05583250249252243,0.05583250249252243,0.05583250249252243,0.056137012369172214,0.056137012369172214,0.056137012369172214,0.03420195439739414,0.05362776025236593,0.05581395348837209,0.05581395348837209,0.05581395348837209,0.05581395348837209,0.05727554179566564,0.05217391304347826,0.05727554179566564,0.04004576659038902,0.012939001848428836,0.05555555555555555,0.06451612903225806
