split_type,fold_id,seed,dbp_id,model,spearman,ndcg_1pct,ndcg_5pct,pairwise_accuracy,top1pct_recovery,n_rc_classes,prediction_variance,training_pair_count,development_exposed,status
protein_cluster_loco,protein_cluster_loco_fold_2,17.0,DBP5,M1,0.2427685365310597,0.8030761798429746,0.7280325120930384,0.58275,0.10975609756097561,8192.0,0.7167637348175049,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_2,17.0,DBP35,M1c,0.17088260765380037,0.6997643016550802,0.6781304006635854,0.5533276663833192,0.04878048780487805,8192.0,1.0798401832580566,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_2,17.0,DBP5,M1c,0.2334993014146808,0.7460263145183444,0.7042394193844335,0.58165,0.06097560975609756,8192.0,0.6835520267486572,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_2,17.0,DBP35,M2,0.1990155418904504,0.790995450666022,0.7252308111124,0.567378368918446,0.036585365853658534,8192.0,0.25449585914611816,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_2,17.0,DBP5,M2,0.05748568069837487,0.708549188690939,0.6565043884678244,0.52425,0.024390243902439025,8192.0,0.25449585914611816,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_2,17.0,DBP35,M3,0.21462061630870122,0.7255503214282988,0.6898890972978826,0.5696284814240712,0.06097560975609756,8192.0,1.00860595703125,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_2,17.0,DBP5,M3,0.16963383864498877,0.77101404184547,0.7071650289081786,0.5619,0.024390243902439025,8192.0,0.6235643625259399,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_2,29.0,DBP35,M0,0.27145393672612983,0.8360780497526961,0.7745584316492856,0.5871293564678234,0.0975609756097561,8192.0,0.6899201273918152,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_2,29.0,DBP5,M0,0.19962695767402025,0.7597373359295019,0.688677017275413,0.56445,0.04878048780487805,8192.0,0.6899201273918152,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_2,29.0,DBP35,M1,0.10776993298764928,0.6234908744363841,0.6173068971880225,0.535426771338567,0.04878048780487805,8192.0,1.447688341140747,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_2,29.0,DBP5,M1,0.21167899655165454,0.7429207626172385,0.6629902450723836,0.5702,0.0975609756097561,8192.0,0.8371518850326538,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_2,29.0,DBP35,M1c,-0.03268571295035485,0.580783136316947,0.5278814210221892,0.48827441372068603,0.024390243902439025,8192.0,2.0938754081726074,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_2,29.0,DBP5,M1c,0.02254099023602467,0.5634864349545229,0.53004635252882,0.513,0.012195121951219513,8192.0,0.8381738066673279,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_2,29.0,DBP35,M2,0.19863172560807413,0.754794985036501,0.6670942431170559,0.5638281914095705,0.08536585365853659,8192.0,0.4049695134162903,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_2,29.0,DBP5,M2,0.12805226011051132,0.6905140455531359,0.6346859270109264,0.5423,0.04878048780487805,8192.0,0.4049695134162903,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_2,29.0,DBP35,M3,0.14954996599494896,0.7282942095712933,0.6796244667479966,0.5501275063753188,0.04878048780487805,8192.0,0.41574418544769287,2560.0,True,diagnostic_replay_all_designed_exposed
protein_cluster_loco,protein_cluster_loco_fold_2,29.0,DBP5,M3,0.06908877145433825,0.6610346129001532,0.6118108864212951,0.5254,0.024390243902439025,8192.0,0.4160229563713074,2560.0,True,diagnostic_replay_all_designed_exposed
