method	protein_id	analysis_status	null_type	metric	observed	chance_baseline	null_median	null_q025	null_q975	empirical_p	tail	n_permutations
NA-MPNN	DBP006	PRIMARY	position_label	position_spearman	0.5	0.0	0.0	-0.7857142857142859	0.7857142857142859	0.28835582208895555	two_sided	2000
NA-MPNN	DBP006	PRIMARY	within_position_base_label	within_residual_spearman	0.38311688311688313	0.0	0.023376623376623374	-0.47402597402597396	0.6325324675324672	0.19490254872563717	two_sided	2000
NA-MPNN	DBP006	PRIMARY	within_position_base_label	within_pairwise_accuracy	0.5238095238095238	0.5	0.5238095238095238	0.2857142857142857	0.7142857142857143	0.5102448775612194	upper	2000
NA-MPNN	DBP009	PRIMARY	position_label	position_spearman	0.6785714285714287	0.0	0.0	-0.7857142857142859	0.7500000000000002	0.111944027986007	two_sided	2000
NA-MPNN	DBP009	PRIMARY	within_position_base_label	within_residual_spearman	-0.11168831168831168	0.0	0.006493506493506493	-0.4571753246753247	0.5402922077922075	0.6846576711644178	two_sided	2000
NA-MPNN	DBP009	PRIMARY	within_position_base_label	within_pairwise_accuracy	0.5714285714285714	0.5	0.5238095238095237	0.2857142857142857	0.7142857142857143	0.35732133933033483	upper	2000
NA-MPNN	DBP035	PRIMARY	position_label	position_spearman	0.03571428571428572	0.0	0.0	-0.7500000000000002	0.7500000000000002	0.9575212393803099	two_sided	2000
NA-MPNN	DBP035	PRIMARY	within_position_base_label	within_residual_spearman	-0.3155844155844156	0.0	0.012337662337662337	-0.48704545454545456	0.6454870129870128	0.3118440779610195	two_sided	2000
NA-MPNN	DBP035	PRIMARY	within_position_base_label	within_pairwise_accuracy	0.3333333333333333	0.5	0.4761904761904762	0.28452380952380957	0.7142857142857143	0.9420289855072463	upper	2000
NA-MPNN	DBP048	SENSITIVITY_ONLY	position_label	position_spearman	-0.21428571428571433	0.0	0.0	-0.7500000000000002	0.7500000000000002	0.6546726636681659	two_sided	2000
NA-MPNN	DBP048	SENSITIVITY_ONLY	within_position_base_label	within_residual_spearman	0.17662337662337665	0.0	-0.007792207792207793	-0.48964285714285716	0.42470779220779203	0.495752123938031	two_sided	2000
NA-MPNN	DBP048	SENSITIVITY_ONLY	within_position_base_label	within_pairwise_accuracy	0.5238095238095238	0.5	0.4761904761904762	0.23809523809523808	0.7142857142857143	0.4682658670664668	upper	2000
