tf_id	binding_site_id	perturbation_type	split_seed	global_spearman	position_spearman	identity_residual_spearman	identity_pairwise_accuracy
TBP	TBP_site_1	mismatch	1302	0.9531634141259808	0.9757575757575757	0.8810056253906521	0.8363636363636363
TBP	TBP_site_2	canonical_watson_crick	1302	0.9532814238042269	0.9515151515151514	0.9230255839822022	0.8
TBP	TBP_site_2	mismatch	1302	0.9663657198416556	0.9515151515151514	0.9238419334676018	0.853030303030303
p53	p53	canonical_watson_crick	1302	0.9076204950065131	0.9205882352941176	0.7180851063829788	0.7708333333333334
p53	p53	mismatch	1302	0.9294222516857208	0.9147058823529413	0.8886569866804113	0.8409090909090909
Cbf1	Cbf1	canonical_watson_crick	1303	0.9220077220077222	0.9020979020979022	0.8676962676962677	0.8055555555555556
Cbf1	Cbf1	mismatch	1303	0.9660627823961777	0.9230769230769231	0.9481231412265896	0.8295454545454546
Egr1	Egr1	canonical_watson_crick	1303	0.9812097812097812	0.9580419580419581	0.9122265122265123	0.9444444444444444
Egr1	Egr1	mismatch	1303	0.9765935214211077	0.9860139860139862	0.8714291455670767	0.7765151515151515
Ets1	Ets1_site_1	canonical_watson_crick	1303	0.9897217382261323	0.990909090909091	0.983370940176049	0.9545454545454546
Ets1	Ets1_site_1	mismatch	1303	0.9907537977554258	1.0	0.9748970785471293	0.9024896265560166
Ets1	Ets1_site_3	canonical_watson_crick	1303	0.850564148394805	0.690909090909091	0.7261636191476772	0.8125
Ets1	Ets1_site_3	mismatch	1303	0.6485053243770035	0.8181818181818182	0.6074086925853882	0.6613128491620112
GR	GR	canonical_watson_crick	1303	0.9628458498023715	0.95	0.7011857707509881	0.7111111111111111
GR	GR	mismatch	1303	0.9357613918125045	0.9785714285714284	0.8614669177032213	0.7878787878787878
Max	Max_site_1	canonical_watson_crick	1303	0.9747747747747749	0.9300699300699302	0.885971685971686	0.8888888888888888
Max	Max_site_1	mismatch	1303	0.9691472826162836	0.9790209790209792	0.8990193714331646	0.827020202020202
Max	Max_site_2	canonical_watson_crick	1303	0.9405405405405406	0.9440559440559443	0.6481338481338481	0.7222222222222222
Max	Max_site_2	mismatch	1303	0.8431269316249966	0.9440559440559443	0.5986924269479219	0.6761363636363636
TBP	TBP_site_1	canonical_watson_crick	1303	0.9692992213570634	0.9878787878787878	0.9439377085650723	0.9
TBP	TBP_site_1	mismatch	1303	0.9526286547676922	0.9636363636363635	0.8929231196610874	0.8363636363636363
TBP	TBP_site_2	canonical_watson_crick	1303	0.9724137931034482	0.9636363636363635	0.9394883203559511	0.8666666666666667
TBP	TBP_site_2	mismatch	1303	0.9615042711299394	0.8909090909090909	0.9273699562469615	0.8575757575757575
p53	p53	canonical_watson_crick	1303	0.9236864958749457	0.9323529411764706	0.7675857577073383	0.875
p53	p53	mismatch	1303	0.9120581342464821	0.9470588235294116	0.8567499932181322	0.8106060606060606
Cbf1	Cbf1	canonical_watson_crick	1304	0.9333333333333333	0.9510489510489512	0.8854568854568854	0.7777777777777778
Cbf1	Cbf1	mismatch	1304	0.9574530935075426	0.9580419580419581	0.9297955648621814	0.8040455120101138
Egr1	Egr1	canonical_watson_crick	1304	0.9819819819819822	0.9720279720279721	0.9222651222651224	0.8888888888888888
Egr1	Egr1	mismatch	1304	0.9798127160196126	0.9790209790209792	0.8903745679607749	0.7967171717171717
Ets1	Ets1_site_1	canonical_watson_crick	1304	0.9826203208556151	0.9818181818181818	0.9418449197860963	0.8181818181818182
Ets1	Ets1_site_1	mismatch	1304	0.9921523406043171	1.0	0.9745698263399408	0.912292817679558
Ets1	Ets1_site_3	canonical_watson_crick	1304	0.8973587930490915	0.7454545454545456	0.6243315508021391	0.7878787878787878
Ets1	Ets1_site_3	mismatch	1304	0.5617446665137288	0.7727272727272727	0.5349470046355635	0.6236033519553073
GR	GR	canonical_watson_crick	1304	0.9625823451910408	0.95	0.7046113306982871	0.7333333333333333
GR	GR	mismatch	1304	0.9402635883823575	0.9857142857142854	0.8722409127853741	0.803030303030303
Max	Max_site_1	canonical_watson_crick	1304	0.9740025740025742	0.9300699300699302	0.8563706563706565	0.8333333333333334
Max	Max_site_1	mismatch	1304	0.9606481016340497	0.9930069930069931	0.851942874252219	0.804677623261694
Max	Max_site_2	canonical_watson_crick	1304	0.9320463320463322	0.8671328671328673	0.6275418275418276	0.75
Max	Max_site_2	mismatch	1304	0.8539804736948535	0.9370629370629372	0.626251157969189	0.6830808080808081
TBP	TBP_site_1	canonical_watson_crick	1304	0.957285873192436	0.9878787878787878	0.9043381535038933	0.8666666666666667
TBP	TBP_site_1	mismatch	1304	0.9436921725345369	0.7818181818181817	0.8678519341620943	0.8242424242424242
TBP	TBP_site_2	canonical_watson_crick	1304	0.9337041156840934	0.9515151515151514	0.8491657397107898	0.7666666666666667
TBP	TBP_site_2	mismatch	1304	0.9691731529515839	0.9515151515151514	0.924711654824046	0.8734848484848485
p53	p53	canonical_watson_crick	1304	0.9118245722141047	0.9264705882352942	0.7592270950933564	0.8125
p53	p53	mismatch	1304	0.9244307563452757	0.9529411764705882	0.8864952662561376	0.8428030303030303
Cbf1	Cbf1	canonical_watson_crick	1305	0.9212355212355212	0.8321678321678322	0.9006435006435008	0.7777777777777778
Cbf1	Cbf1	mismatch	1305	0.9566513945824292	0.9720279720279721	0.9268748492886425	0.8005050505050505
Egr1	Egr1	canonical_watson_crick	1305	0.9861003861003862	0.965034965034965	0.9196911196911197	0.8888888888888888
Egr1	Egr1	mismatch	1305	0.9871513543927337	0.9860139860139862	0.9328952656538864	0.8497474747474747
Ets1	Ets1_site_1	canonical_watson_crick	1305	0.9798579223524314	1.0	0.9535427807486632	0.8181818181818182
Ets1	Ets1_site_1	mismatch	1305	0.9907094452048251	1.0	0.9677709700089888	0.8951724137931034
Ets1	Ets1_site_3	canonical_watson_crick	1305	0.8553280431042973	0.6090909090909091	0.7887700534759359	0.8484848484848485
Ets1	Ets1_site_3	mismatch	1305	0.5480733975844436	0.6818181818181819	0.5026187503836196	0.6176470588235294
GR	GR	canonical_watson_crick	1305	0.9469038208168641	0.8642857142857141	0.6171277997364952	0.6888888888888889
GR	GR	mismatch	1305	0.9311213309052748	0.9714285714285713	0.8377707130878526	0.793939393939394
Max	Max_site_1	canonical_watson_crick	1305	0.9691119691119692	0.9300699300699302	0.8254826254826254	0.7777777777777778
Max	Max_site_1	mismatch	1305	0.9700646452568522	0.9930069930069931	0.9060333836044517	0.8352272727272727
Max	Max_site_2	canonical_watson_crick	1305	0.9613899613899614	0.8181818181818183	0.8630630630630631	0.8611111111111112
Max	Max_site_2	mismatch	1305	0.8497016901878276	0.9370629370629372	0.6443292339844064	0.7108585858585859
TBP	TBP_site_1	canonical_watson_crick	1305	0.96440489432703	0.9636363636363635	0.8691879866518354	0.8666666666666667
TBP	TBP_site_1	mismatch	1305	0.9527744982290437	0.9878787878787878	0.8825612889784011	0.796969696969697
TBP	TBP_site_2	canonical_watson_crick	1305	0.9528364849833146	0.9515151515151514	0.8807563959955507	0.8333333333333334
TBP	TBP_site_2	mismatch	1305	0.9593443989165912	0.9999999999999999	0.9258004028057504	0.8575757575757575
p53	p53	canonical_watson_crick	1305	0.8863377313171141	0.8823529411764707	0.7565543082306289	0.8043478260869565
p53	p53	mismatch	1305	0.9220600976254867	0.9235294117647058	0.8831145050592737	0.8409090909090909
Cbf1	Cbf1	canonical_watson_crick	1306	0.9346203346203347	0.8601398601398602	0.8723294723294724	0.7777777777777778
Cbf1	Cbf1	mismatch	1306	0.9611687163411301	0.965034965034965	0.9400329555501971	0.8333333333333334
Egr1	Egr1	canonical_watson_crick	1306	0.9770913770913772	0.9720279720279721	0.9510939510939511	0.9166666666666666
Egr1	Egr1	mismatch	1306	0.9824692548830479	0.9930069930069931	0.9071899365002815	0.827020202020202
Ets1	Ets1_site_1	canonical_watson_crick	1306	0.9771018020485561	0.990909090909091	0.9468582887700535	0.8181818181818182
Ets1	Ets1_site_1	mismatch	1306	0.9888441163549336	1.0	0.9685407592646489	0.896551724137931
Ets1	Ets1_site_3	canonical_watson_crick	1306	0.880434794918888	0.4090909090909091	0.7627005347593584	0.9090909090909091
Ets1	Ets1_site_3	mismatch	1306	0.5153252310952898	0.3090909090909091	0.5089657961767815	0.606638418079096
GR	GR	canonical_watson_crick	1306	0.958893280632411	0.907142857142857	0.6227931488801054	0.7333333333333333
