method	protein_id	analysis_status	mapping_status	coverage_scope	n_mutations	holdout_status	global_spearman	global_pearson	global_rank_ci_low	global_rank_ci_high	position_spearman	position_pearson	position_mean_signed_spearman	position_mean_signed_pearson	position_max_abs_spearman	position_max_abs_pearson	within_residual_spearman	within_residual_pearson	within_pairwise_accuracy	within_kendall_style_concordance	n_positions
PBM_experimental	DBP006	PRIMARY	PRIMARY	fixed_7mer_window	21	DEVELOPMENT_EXPOSED	0.8132510984294133	0.7409034966520958	0.620470397833621	0.9310680342056082	0.8214285714285715	0.8115015724024994	0.8214285714285715	0.8123410278293246	0.8571428571428573	0.7857688819974623	0.48571428571428565	0.5676134939663194	0.5714285714285714	0.1428571428571428	7
PBM_experimental	DBP009	PRIMARY	PRIMARY	fixed_7mer_window	21	DEVELOPMENT_EXPOSED	0.6831168831168831	0.58836420777248	0.4694415026284487	0.8606969255815208	0.7142857142857144	0.6992831559427757	0.7142857142857144	0.7000351786442269	0.5357142857142858	0.5440310192954043	0.42207792207792205	0.49804995874758623	0.619047619047619	0.23809523809523792	7
PBM_experimental	DBP035	PRIMARY	PRIMARY	fixed_7mer_window	21	DEVELOPMENT_EXPOSED	0.5584415584415584	0.42224520928510584	0.23079321473854078	0.8286107696712233	0.642857142857143	0.8448991113318463	0.8928571428571429	0.7965318781595512	0.642857142857143	0.7345194080447208	0.04675324675324675	0.018612022796941848	0.47619047619047616	-0.04761904761904767	7
PBM_experimental	DBP048	SENSITIVITY_ONLY	AMBIGUOUS	fixed_7mer_window	21	DEVELOPMENT_EXPOSED	0.48181818181818176	0.46673417506334614	0.2239586965581174	0.6784967320261439	0.5714285714285715	0.5450433643868651	0.5714285714285715	0.5450433643868651	0.3214285714285715	0.5113346234009248	0.37142857142857144	0.18256097175733596	0.7619047619047619	0.5238095238095237	7
NA-MPNN	DBP001	PRIMARY	PRIMARY	fixed_7mer_window	21	DEVELOPMENT_EXPOSED	0.22857142857142856	0.2410989417834275	-0.07684185743108189	0.5583566270822938	-0.3571428571428572	-0.42603089534556865	0.03571428571428572	0.18496162631839114	-0.5714285714285715	-0.34614161605981	0.3675324675324675	0.3335443516991399	0.6190476190476192	0.23809523809523836	7
NA-MPNN	DBP003	PRIMARY	PRIMARY	fixed_7mer_window	21	DEVELOPMENT_EXPOSED	0.34935064935064936	0.38195882868904374	0.07926954202458195	0.5831495284811073	0.1785714285714286	0.3866807563405186	0.28571428571428575	0.4902513903760969	0.03571428571428572	0.18956057781806834	0.3181818181818181	0.16254041529977056	0.5714285714285714	0.1428571428571428	7
NA-MPNN	DBP005	PRIMARY	PRIMARY	fixed_7mer_window	21	DEVELOPMENT_EXPOSED	0.3103896103896104	0.06689015966724798	0.12119551092431803	0.5499048563499072	0.4642857142857144	0.16705627819174113	0.10714285714285716	0.07779378472666833	0.3571428571428572	0.02308276499088982	0.0	0.037756331321917344	0.5238095238095238	0.04761904761904767	7
NA-MPNN	DBP006	PRIMARY	PRIMARY	fixed_7mer_window	21	DEVELOPMENT_EXPOSED	0.06753246753246753	0.0812327010759776	-0.10795097261903135	0.2002880131214278	0.5	0.24492955820822268	0.10714285714285716	0.029775848353783496	0.642857142857143	0.35264193464709537	0.38311688311688313	0.5791966322036421	0.5238095238095238	0.04761904761904767	7
NA-MPNN	DBP009	PRIMARY	PRIMARY	fixed_7mer_window	21	DEVELOPMENT_EXPOSED	0.06883116883116883	-0.06707152637847352	-0.043146214099216706	0.19026058631921824	0.6785714285714287	0.1043698713859223	0.14285714285714288	-0.05809829277810574	0.6071428571428572	0.19376245495085542	-0.11168831168831168	-0.24112283730720868	0.5714285714285714	0.1428571428571428	7
NA-MPNN	DBP035	PRIMARY	PRIMARY	fixed_7mer_window	21	DEVELOPMENT_EXPOSED	0.005194805194805195	-0.1433502574044577	-0.4571463608304197	0.515362035225049	0.03571428571428572	0.09180079009169374	0.14285714285714288	-0.034943861309556595	0.4642857142857144	0.5037175008210488	-0.3155844155844156	-0.4007697524711076	0.3333333333333333	-0.33333333333333337	7
NA-MPNN	DBP048	SENSITIVITY_ONLY	AMBIGUOUS	fixed_7mer_window	21	DEVELOPMENT_EXPOSED	-0.045454545454545456	-0.12079904435192396	-0.45555838448183944	0.3954983242496599	-0.21428571428571433	-0.23399426188758404	-0.14285714285714288	-0.33051187732121484	-0.3214285714285715	-0.318844936045837	0.17662337662337665	0.17073033193358972	0.5238095238095238	0.04761904761904767	7
