tf_id	binding_site_id	perturbation_type	null_type	metric	observed	chance_baseline	null_median	null_q025	null_q975	empirical_p	tail	n_permutations
Ets1	Ets1_site_3	canonical_watson_crick	within_position_base_label	identity_residual_spearman	0.6292303857516697	0.0	0.026740202316140015	-0.3718559384588221	0.4791551784089448	0.0014992503748125937	two_sided	2000
Ets1	Ets1_site_3	canonical_watson_crick	within_position_base_label	identity_pairwise_accuracy	0.75	0.5	0.5	0.3125	0.6875	0.005497251374312844	upper	2000
Ets1	Ets1_site_3	mismatch	position_label	position_spearman	0.790909090909091	0.0	-0.009090909090909092	-0.6093181818181819	0.6093181818181806	0.00399800099950025	two_sided	2000
Ets1	Ets1_site_3	mismatch	within_position_base_label	identity_residual_spearman	0.5306311465578719	0.0	0.10490106171848346	-0.0398492216828702	0.27506254982067974	0.0004997501249375312	two_sided	2000
Ets1	Ets1_site_3	mismatch	within_position_base_label	identity_pairwise_accuracy	0.6241234221598878	0.5	0.5	0.437570126227209	0.5659537166900419	0.0004997501249375312	upper	2000
GR	GR	canonical_watson_crick	position_label	position_spearman	0.9178571428571428	0.0	0.0	-0.5107142857142856	0.4928571428571427	0.0004997501249375312	two_sided	2000
GR	GR	canonical_watson_crick	within_position_base_label	identity_residual_spearman	0.6447957839262187	0.0	0.011989459815546772	-0.38289196310935436	0.40484189723320096	0.0009995002498750624	two_sided	2000
GR	GR	canonical_watson_crick	within_position_base_label	identity_pairwise_accuracy	0.7333333333333333	0.5	0.5111111111111111	0.3333333333333333	0.6666666666666666	0.004497751124437781	upper	2000
GR	GR	mismatch	position_label	position_spearman	0.9857142857142854	0.0	-0.010714285714285713	-0.5358035714285713	0.5358035714285708	0.0004997501249375312	two_sided	2000
GR	GR	mismatch	within_position_base_label	identity_residual_spearman	0.8547815261787916	0.0	0.015384219677562065	-0.14781788532567877	0.17965950595182967	0.0004997501249375312	two_sided	2000
GR	GR	mismatch	within_position_base_label	identity_pairwise_accuracy	0.803030303030303	0.5	0.501010101010101	0.44545454545454544	0.5586111111111111	0.0004997501249375312	upper	2000
Max	Max_site_1	canonical_watson_crick	position_label	position_spearman	0.8461538461538463	0.0	-0.006993006993006993	-0.5666083916083916	0.5875874125874117	0.0004997501249375312	two_sided	2000
Max	Max_site_1	canonical_watson_crick	within_position_base_label	identity_residual_spearman	0.8061776061776061	0.0	0.019433719433719437	-0.4096396396396397	0.45232947232947196	0.0004997501249375312	two_sided	2000
Max	Max_site_1	canonical_watson_crick	within_position_base_label	identity_pairwise_accuracy	0.8611111111111112	0.5	0.5	0.3333333333333333	0.6944444444444443	0.0004997501249375312	upper	2000
Max	Max_site_1	mismatch	position_label	position_spearman	0.9300699300699302	0.0	-0.006993006993006993	-0.5875874125874125	0.5524475524475525	0.0004997501249375312	two_sided	2000
Max	Max_site_1	mismatch	within_position_base_label	identity_residual_spearman	0.8922313318865044	0.0	0.042038421348766175	-0.13321859175307452	0.22127431476569406	0.0004997501249375312	two_sided	2000
Max	Max_site_1	mismatch	within_position_base_label	identity_pairwise_accuracy	0.8345959595959596	0.5	0.5	0.43813131313131315	0.5618686868686869	0.0004997501249375312	upper	2000
Max	Max_site_2	canonical_watson_crick	position_label	position_spearman	0.9160839160839163	0.0	-0.006993006993006993	-0.5874125874125874	0.5736013986013978	0.0004997501249375312	two_sided	2000
Max	Max_site_2	canonical_watson_crick	within_position_base_label	identity_residual_spearman	0.8398970398970399	0.0	0.021235521235521238	-0.35933719433719435	0.5037644787644786	0.0004997501249375312	two_sided	2000
Max	Max_site_2	canonical_watson_crick	within_position_base_label	identity_pairwise_accuracy	0.8611111111111112	0.5	0.5	0.33333333333333326	0.6666666666666667	0.0004997501249375312	upper	2000
Max	Max_site_2	mismatch	position_label	position_spearman	0.8741258741258742	0.0	0.0	-0.5944055944055945	0.5524475524475525	0.0009995002498750624	two_sided	2000
Max	Max_site_2	mismatch	within_position_base_label	identity_residual_spearman	0.609392331806125	0.0	0.04769110200144683	-0.12478146853146854	0.20962814484366207	0.0004997501249375312	two_sided	2000
Max	Max_site_2	mismatch	within_position_base_label	identity_pairwise_accuracy	0.6868686868686869	0.5	0.5	0.44065656565656564	0.563131313131313	0.0004997501249375312	upper	2000
TBP	TBP_site_1	canonical_watson_crick	position_label	position_spearman	0.9999999999999999	0.0	0.01818181818181818	-0.6363636363636362	0.6606060606060605	0.0004997501249375312	two_sided	2000
TBP	TBP_site_1	canonical_watson_crick	within_position_base_label	identity_residual_spearman	0.9666295884315905	0.0	0.04827586206896552	-0.3730812013348164	0.6022580645161288	0.0004997501249375312	two_sided	2000
TBP	TBP_site_1	canonical_watson_crick	within_position_base_label	identity_pairwise_accuracy	0.9	0.5	0.5	0.3	0.7	0.0004997501249375312	upper	2000
TBP	TBP_site_1	mismatch	position_label	position_spearman	0.9757575757575757	0.0	0.006060606060606061	-0.6487878787878786	0.6245454545454528	0.0004997501249375312	two_sided	2000
TBP	TBP_site_1	mismatch	within_position_base_label	identity_residual_spearman	0.8952357802625182	0.0	0.006823390513230084	-0.21802902979373562	0.22540054864921166	0.0004997501249375312	two_sided	2000
TBP	TBP_site_1	mismatch	within_position_base_label	identity_pairwise_accuracy	0.8378787878787879	0.5	0.5015151515151515	0.43333333333333335	0.5681818181818182	0.0004997501249375312	upper	2000
TBP	TBP_site_2	canonical_watson_crick	position_label	position_spearman	0.9515151515151514	0.0	-0.006060606060606061	-0.6121212121212121	0.6366666666666649	0.0004997501249375312	two_sided	2000
TBP	TBP_site_2	canonical_watson_crick	within_position_base_label	identity_residual_spearman	0.9110122358175751	0.0	0.03203559510567297	-0.40201334816462736	0.5728587319243604	0.0004997501249375312	two_sided	2000
TBP	TBP_site_2	canonical_watson_crick	within_position_base_label	identity_pairwise_accuracy	0.8333333333333334	0.5	0.49999999999999994	0.3	0.7	0.0009995002498750624	upper	2000
TBP	TBP_site_2	mismatch	position_label	position_spearman	0.8545454545454544	0.0	0.006060606060606061	-0.6363636363636362	0.6363636363636362	0.0014992503748125937	two_sided	2000
TBP	TBP_site_2	mismatch	within_position_base_label	identity_residual_spearman	0.9282033474546842	0.0	0.0016285853184248903	-0.21325977498437387	0.21842263351621627	0.0004997501249375312	two_sided	2000
TBP	TBP_site_2	mismatch	within_position_base_label	identity_pairwise_accuracy	0.8590909090909091	0.5	0.5015151515151515	0.43333333333333335	0.5681818181818182	0.0004997501249375312	upper	2000
p53	p53	canonical_watson_crick	position_label	position_spearman	0.7088235294117646	0.0	-0.0029411764705882353	-0.49125	0.4824264705882349	0.0014992503748125937	two_sided	2000
p53	p53	canonical_watson_crick	within_position_base_label	identity_residual_spearman	0.7206904038211029	0.0	0.018996960486322188	-0.3397063612679113	0.43161094224924007	0.0004997501249375312	two_sided	2000
p53	p53	canonical_watson_crick	within_position_base_label	identity_pairwise_accuracy	0.7916666666666666	0.5	0.5	0.3541666666666667	0.6666666666666666	0.0004997501249375312	upper	2000
p53	p53	mismatch	position_label	position_spearman	0.6029411764705882	0.0	0.0029411764705882353	-0.5117647058823529	0.5118382352941172	0.01999000499750125	two_sided	2000
p53	p53	mismatch	within_position_base_label	identity_residual_spearman	0.8816466043385269	0.0	0.013671403944761195	-0.1482288296483182	0.1694030597258326	0.0004997501249375312	two_sided	2000
p53	p53	mismatch	within_position_base_label	identity_pairwise_accuracy	0.8319128787878788	0.5	0.49952651515151514	0.44365530303030304	0.5516335227272726	0.0004997501249375312	upper	2000
