protein_id,motif_distance_bin,baseline,spearman,ndcg_5pct,n_rc_classes,evaluation_status
DBP48,3+,DeepPBS,,,0,too_few_or_no_scores
DBP48,3+,SimpleProteinConditionalBaseline,,,0,too_few_or_no_scores
DBP5,0,sequence_hamming,,,8,too_few_or_no_scores
DBP5,0,sequence_edit,,,8,too_few_or_no_scores
DBP5,0,sequence_kmer3,,,8,too_few_or_no_scores
DBP5,0,sequence_kmer4,,,8,too_few_or_no_scores
DBP5,0,NA-MPNN_structural_ppm,,,0,too_few_or_no_scores
DBP5,0,DeepPBS,,,0,too_few_or_no_scores
DBP5,0,SimpleProteinConditionalBaseline,,,0,too_few_or_no_scores
DBP5,1,sequence_hamming,,0.34776579236079286,136,evaluated
DBP5,1,sequence_edit,,0.34776579236079286,136,evaluated
DBP5,1,sequence_kmer3,0.09106462852781591,0.35783346160674145,136,evaluated
DBP5,1,sequence_kmer4,-0.04668244395664266,0.25572877969398866,136,evaluated
DBP5,1,NA-MPNN_structural_ppm,,,0,too_few_or_no_scores
DBP5,1,DeepPBS,,,0,too_few_or_no_scores
DBP5,1,SimpleProteinConditionalBaseline,,,0,too_few_or_no_scores
DBP5,2,sequence_hamming,,0.5599883684364932,928,evaluated
DBP5,2,sequence_edit,,0.5599883684364932,928,evaluated
DBP5,2,sequence_kmer3,0.18953256103778296,0.7703929843209064,928,evaluated
DBP5,2,sequence_kmer4,0.06057248573627138,0.6488769238185406,928,evaluated
DBP5,2,NA-MPNN_structural_ppm,,,0,too_few_or_no_scores
DBP5,2,DeepPBS,,,0,too_few_or_no_scores
DBP5,2,SimpleProteinConditionalBaseline,,,0,too_few_or_no_scores
DBP5,3+,sequence_hamming,0.0395208501348067,0.5394111809936584,7120,evaluated
DBP5,3+,sequence_edit,0.045069090295639554,0.5845197270731511,7120,evaluated
DBP5,3+,sequence_kmer3,0.2046831354272354,0.7029729553370933,7120,evaluated
DBP5,3+,sequence_kmer4,0.07452751131958597,0.5879394072361932,7120,evaluated
DBP5,3+,NA-MPNN_structural_ppm,,,0,too_few_or_no_scores
DBP5,3+,DeepPBS,,,0,too_few_or_no_scores
DBP5,3+,SimpleProteinConditionalBaseline,,,0,too_few_or_no_scores
DBP6,0,sequence_hamming,,,8,too_few_or_no_scores
DBP6,0,sequence_edit,,,8,too_few_or_no_scores
DBP6,0,sequence_kmer3,,,8,too_few_or_no_scores
DBP6,0,sequence_kmer4,,,8,too_few_or_no_scores
DBP6,0,NA-MPNN_structural_ppm,,,0,too_few_or_no_scores
DBP6,0,DeepPBS,,,0,too_few_or_no_scores
DBP6,0,SimpleProteinConditionalBaseline,,,0,too_few_or_no_scores
DBP6,1,sequence_hamming,,0.6135007631201336,136,evaluated
DBP6,1,sequence_edit,,0.6135007631201336,136,evaluated
DBP6,1,sequence_kmer3,0.49921762127019914,0.6408217212891689,136,evaluated
DBP6,1,sequence_kmer4,0.46077654207156005,0.8925053318744858,136,evaluated
