split_type,fold_id,seed,dbp_id,protein_cluster,combined_component,model,n_units,spearman,ndcg_1pct,ndcg_5pct,pairwise_accuracy,top1pct_recovery,training_proteins,test_proteins,runtime_seconds,training_pair_count,development_exposed,status
protein_cluster_loco,protein_cluster_loco_fold_1,43,DBP1,protein_cluster_1,combined_component_1,M3,8192,0.238005389776943,0.6190268486901237,0.6431847431935047,0.578825,0.0,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,3.660971099991002,2560,True,complete
protein_cluster_loco,protein_cluster_loco_fold_1,43,DBP3,protein_cluster_1,combined_component_1,M3,8192,0.13834569682513476,0.5973958115327702,0.5998293951723024,0.548175,0.0,DBP35|DBP48|DBP5|DBP6|DBP9,DBP1|DBP3,3.660971099991002,2560,True,complete
protein_cluster_loco,protein_cluster_loco_fold_2,17,DBP35,protein_cluster_2,combined_component_2,M0,8192,0.03758129771096969,0.6610305154262844,0.5922078467572928,0.5170508525426272,0.0,DBP1|DBP3|DBP48|DBP6|DBP9,DBP35|DBP5,0.9871933999966132,2560,False,complete
protein_cluster_loco,protein_cluster_loco_fold_2,17,DBP5,protein_cluster_2,combined_component_2,M0,8192,-0.08403614315092696,0.4326825343128219,0.45344402213058166,0.476625,0.0,DBP1|DBP3|DBP48|DBP6|DBP9,DBP35|DBP5,0.9871933999966132,2560,False,complete
protein_cluster_loco,protein_cluster_loco_fold_2,17,DBP35,protein_cluster_2,combined_component_2,M1,8192,0.05705115277573208,0.7491231379951576,0.6665939652754171,0.5223011150557528,0.0,DBP1|DBP3|DBP48|DBP6|DBP9,DBP35|DBP5,1.8065236000111327,2560,False,complete
protein_cluster_loco,protein_cluster_loco_fold_2,17,DBP5,protein_cluster_2,combined_component_2,M1,8192,-0.07799523100823973,0.4959906545933971,0.5089052774772095,0.477325,0.012195121951219513,DBP1|DBP3|DBP48|DBP6|DBP9,DBP35|DBP5,1.8065236000111327,2560,False,complete
protein_cluster_loco,protein_cluster_loco_fold_2,17,DBP35,protein_cluster_2,combined_component_2,M1c,8192,-0.08013586457700934,0.623984891016863,0.5270497038693363,0.476248812440622,0.024390243902439025,DBP1|DBP3|DBP48|DBP6|DBP9,DBP35|DBP5,2.390757199988002,2560,False,complete
protein_cluster_loco,protein_cluster_loco_fold_2,17,DBP5,protein_cluster_2,combined_component_2,M1c,8192,-0.07594539153029756,0.5047980818130711,0.5517643676095975,0.480075,0.024390243902439025,DBP1|DBP3|DBP48|DBP6|DBP9,DBP35|DBP5,2.390757199988002,2560,False,complete
protein_cluster_loco,protein_cluster_loco_fold_2,17,DBP35,protein_cluster_2,combined_component_2,M2,8192,0.13322689511692987,0.7727545239526854,0.7166694209551181,0.5446022301115055,0.036585365853658534,DBP1|DBP3|DBP48|DBP6|DBP9,DBP35|DBP5,2.814142200004426,2560,False,complete
protein_cluster_loco,protein_cluster_loco_fold_2,17,DBP5,protein_cluster_2,combined_component_2,M2,8192,-0.019969456788032865,0.5289036414181972,0.5649659721064852,0.495475,0.04878048780487805,DBP1|DBP3|DBP48|DBP6|DBP9,DBP35|DBP5,2.814142200004426,2560,False,complete
protein_cluster_loco,protein_cluster_loco_fold_2,17,DBP35,protein_cluster_2,combined_component_2,M3,8192,-0.04149951688243045,0.5125063449701004,0.5180929560784112,0.4895994799739987,0.0,DBP1|DBP3|DBP48|DBP6|DBP9,DBP35|DBP5,4.00435240000661,2560,False,complete
protein_cluster_loco,protein_cluster_loco_fold_2,17,DBP5,protein_cluster_2,combined_component_2,M3,8192,-0.1369584006588577,0.42546729951682094,0.4342438561349633,0.460475,0.0,DBP1|DBP3|DBP48|DBP6|DBP9,DBP35|DBP5,4.00435240000661,2560,False,complete
protein_cluster_loco,protein_cluster_loco_fold_2,29,DBP35,protein_cluster_2,combined_component_2,M0,8192,0.1549199370676708,0.8023168797370785,0.7186665554953197,0.551677583879194,0.18292682926829268,DBP1|DBP3|DBP48|DBP6|DBP9,DBP35|DBP5,1.6053110999928322,2560,False,complete
protein_cluster_loco,protein_cluster_loco_fold_2,29,DBP5,protein_cluster_2,combined_component_2,M0,8192,0.07348242255613707,0.6678685576268016,0.5768255702515602,0.5252,0.13414634146341464,DBP1|DBP3|DBP48|DBP6|DBP9,DBP35|DBP5,1.6053110999928322,2560,False,complete
protein_cluster_loco,protein_cluster_loco_fold_2,29,DBP35,protein_cluster_2,combined_component_2,M1,8192,-0.05816224267580688,0.3746994708881749,0.39162381544224323,0.4783989199459973,0.0,DBP1|DBP3|DBP48|DBP6|DBP9,DBP35|DBP5,2.417903399997158,2560,False,complete
protein_cluster_loco,protein_cluster_loco_fold_2,29,DBP5,protein_cluster_2,combined_component_2,M1,8192,0.14318129840672583,0.40006757643345703,0.5208986772207772,0.550675,0.012195121951219513,DBP1|DBP3|DBP48|DBP6|DBP9,DBP35|DBP5,2.417903399997158,2560,False,complete
protein_cluster_loco,protein_cluster_loco_fold_2,29,DBP35,protein_cluster_2,combined_component_2,M1c,8192,-0.033941764350303036,0.3812806854227373,0.44890719317620026,0.4878993949697485,0.012195121951219513,DBP1|DBP3|DBP48|DBP6|DBP9,DBP35|DBP5,2.6688335000071675,2560,False,complete
protein_cluster_loco,protein_cluster_loco_fold_2,29,DBP5,protein_cluster_2,combined_component_2,M1c,8192,0.09443947336935415,0.750617186166351,0.6164802982700451,0.529875,0.08536585365853659,DBP1|DBP3|DBP48|DBP6|DBP9,DBP35|DBP5,2.6688335000071675,2560,False,complete
