split_type,fold_id,seed,model,training_proteins,test_proteins,training_pair_count,runtime_seconds,first_epoch_loss,last_epoch_loss,prediction_variance,nan_inf_count,diagnostic_replay
protein_cluster_loco,protein_cluster_loco_fold_3,29,M3,DBP1|DBP3|DBP35|DBP5|DBP6|DBP9,DBP48,3072,2.484913399996003,0.6960944061477979,0.5962630386153857,0.8099257349967957,0,True
protein_cluster_loco,protein_cluster_loco_fold_3,43,M0,DBP1|DBP3|DBP35|DBP5|DBP6|DBP9,DBP48,3072,1.256610800002818,0.6858663956324259,0.6015829940636953,0.520882785320282,0,True
protein_cluster_loco,protein_cluster_loco_fold_3,43,M1,DBP1|DBP3|DBP35|DBP5|DBP6|DBP9,DBP48,3072,1.6336161000072025,0.6924928277730942,0.618313804268837,0.32866740226745605,0,True
protein_cluster_loco,protein_cluster_loco_fold_3,43,M1c,DBP1|DBP3|DBP35|DBP5|DBP6|DBP9,DBP48,3072,1.6663647000095807,0.6895813619097074,0.5931130920847257,0.5430125594139099,0,True
protein_cluster_loco,protein_cluster_loco_fold_3,43,M2,DBP1|DBP3|DBP35|DBP5|DBP6|DBP9,DBP48,3072,1.8560293999908026,0.6901430686314901,0.6005473559101423,0.47748255729675293,0,True
protein_cluster_loco,protein_cluster_loco_fold_3,43,M3,DBP1|DBP3|DBP35|DBP5|DBP6|DBP9,DBP48,3072,2.4740497000020696,0.6918625086545944,0.6029124036431313,0.6519303321838379,0,True
protein_cluster_loco,protein_cluster_loco_fold_4,17,M0,DBP1|DBP3|DBP35|DBP48|DBP5,DBP6|DBP9,2560,1.056177199992817,0.7010253548622132,0.6649246543645859,0.10909822583198547,0,True
protein_cluster_loco,protein_cluster_loco_fold_4,17,M1,DBP1|DBP3|DBP35|DBP48|DBP5,DBP6|DBP9,2560,1.3592963999981293,0.7031975328922272,0.5534057378768921,0.7887561321258545,0,True
protein_cluster_loco,protein_cluster_loco_fold_4,17,M1c,DBP1|DBP3|DBP35|DBP48|DBP5,DBP6|DBP9,2560,1.3225743000075454,0.7028481513261795,0.5642792508006096,0.497117817401886,0,True
protein_cluster_loco,protein_cluster_loco_fold_4,17,M2,DBP1|DBP3|DBP35|DBP48|DBP5,DBP6|DBP9,2560,1.4765562999964459,0.6978654116392136,0.6976831287145615,0.004821940790861845,0,True
protein_cluster_loco,protein_cluster_loco_fold_4,17,M3,DBP1|DBP3|DBP35|DBP48|DBP5,DBP6|DBP9,2560,2.1479975000111153,0.6984610199928284,0.6442401498556137,0.13583427667617798,0,True
protein_cluster_loco,protein_cluster_loco_fold_4,29,M0,DBP1|DBP3|DBP35|DBP48|DBP5,DBP6|DBP9,2560,1.0096194000070682,0.7002985417842865,0.634679651260376,0.34370535612106323,0,True
protein_cluster_loco,protein_cluster_loco_fold_4,29,M1,DBP1|DBP3|DBP35|DBP48|DBP5,DBP6|DBP9,2560,1.3253494999953546,0.6995982348918914,0.5448724865913391,0.9284335970878601,0,True
protein_cluster_loco,protein_cluster_loco_fold_4,29,M1c,DBP1|DBP3|DBP35|DBP48|DBP5,DBP6|DBP9,2560,1.6881049000076018,0.7010459989309311,0.5678542420268059,0.5068618059158325,0,True
protein_cluster_loco,protein_cluster_loco_fold_4,29,M2,DBP1|DBP3|DBP35|DBP48|DBP5,DBP6|DBP9,2560,2.050269700004719,0.6955343931913376,0.5697530612349511,0.5670466423034668,0,True
protein_cluster_loco,protein_cluster_loco_fold_4,29,M3,DBP1|DBP3|DBP35|DBP48|DBP5,DBP6|DBP9,2560,2.829002999991644,0.6957246631383895,0.6009239703416824,0.5113505721092224,0,True
protein_cluster_loco,protein_cluster_loco_fold_4,43,M0,DBP1|DBP3|DBP35|DBP48|DBP5,DBP6|DBP9,2560,0.9385421999904793,0.7006646126508713,0.6322125047445297,0.2642897665500641,0,True
protein_cluster_loco,protein_cluster_loco_fold_4,43,M1,DBP1|DBP3|DBP35|DBP48|DBP5,DBP6|DBP9,2560,1.5379601000022376,0.7039616376161575,0.5551799967885017,0.707426130771637,0,True
protein_cluster_loco,protein_cluster_loco_fold_4,43,M1c,DBP1|DBP3|DBP35|DBP48|DBP5,DBP6|DBP9,2560,1.5201628000068013,0.7002644062042236,0.5539292246103287,0.36654287576675415,0,True
protein_cluster_loco,protein_cluster_loco_fold_4,43,M2,DBP1|DBP3|DBP35|DBP48|DBP5,DBP6|DBP9,2560,1.6458323999977438,0.6970007568597794,0.6256579279899597,0.09678204357624054,0,True
protein_cluster_loco,protein_cluster_loco_fold_4,43,M3,DBP1|DBP3|DBP35|DBP48|DBP5,DBP6|DBP9,2560,2.250809199991636,0.6949026077985764,0.6914845675230026,0.013179551810026169,0,True
