model,epoch,mean_pairwise_loss,reported_model,protocol
M0_CandidateDNAOnly,1,0.6606767866760492,M0,D16384
M0_CandidateDNAOnly,2,0.6560983282979578,M0,D16384
M0_CandidateDNAOnly,3,0.653696404149135,M0,D16384
M0_CandidateDNAOnly,4,0.6504897194293638,M0,D16384
M0_CandidateDNAOnly,5,0.6492564376288404,M0,D16384
M0_CandidateDNAOnly,6,0.6491116307831059,M0,D16384
M0_CandidateDNAOnly,7,0.6488607604211817,M0,D16384
M0_CandidateDNAOnly,8,0.6489729268165926,M0,D16384
M0_CandidateDNAOnly,9,0.6492764157398293,M0,D16384
M0_CandidateDNAOnly,10,0.6493280895520002,M0,D16384
M0_CandidateDNAOnly,11,0.6477199245709926,M0,D16384
M0_CandidateDNAOnly,12,0.6480468512357523,M0,D16384
M0_CandidateDNAOnly,13,0.6481244318032017,M0,D16384
M0_CandidateDNAOnly,14,0.647438715522488,M0,D16384
M0_CandidateDNAOnly,15,0.6468135262839496,M0,D16384
M0_CandidateDNAOnly,16,0.647276195542266,M0,D16384
M0_CandidateDNAOnly,17,0.6467325495711217,M0,D16384
M0_CandidateDNAOnly,18,0.6468367562629282,M0,D16384
M1_ProteinCandidate,1,0.6647890888464948,M1c,D16384
M1_ProteinCandidate,2,0.65105827137207,M1c,D16384
M1_ProteinCandidate,3,0.6481256247498095,M1c,D16384
M1_ProteinCandidate,4,0.6467697946354747,M1c,D16384
M1_ProteinCandidate,5,0.6452754551234344,M1c,D16384
M1_ProteinCandidate,6,0.6459350516864409,M1c,D16384
M1_ProteinCandidate,7,0.6469875688975056,M1c,D16384
M1_ProteinCandidate,8,0.6462127692066133,M1c,D16384
M1_ProteinCandidate,9,0.6461753055142859,M1c,D16384
M1_ProteinCandidate,10,0.6476877779544642,M1c,D16384
M1_ProteinCandidate,11,0.6460895391646773,M1c,D16384
M1_ProteinCandidate,12,0.6462973589077592,M1c,D16384
M1_ProteinCandidate,13,0.6465062295707563,M1c,D16384
M1_ProteinCandidate,14,0.6454950536135584,M1c,D16384
M1_ProteinCandidate,15,0.6444659784125785,M1c,D16384
M1_ProteinCandidate,16,0.6472019591213515,M1c,D16384
M1_ProteinCandidate,17,0.6471293455300232,M1c,D16384
M1_ProteinCandidate,18,0.6470154153648764,M1c,D16384
M2_TargetCandidateOnly,1,0.66619449093317,M2,D16384
M2_TargetCandidateOnly,2,0.6607060347838948,M2,D16384
M2_TargetCandidateOnly,3,0.6576041217582921,M2,D16384
M2_TargetCandidateOnly,4,0.6539460613857955,M2,D16384
M2_TargetCandidateOnly,5,0.6555142287785808,M2,D16384
M2_TargetCandidateOnly,6,0.6521133021451533,M2,D16384
M2_TargetCandidateOnly,7,0.6519866969902068,M2,D16384
M2_TargetCandidateOnly,8,0.6518452800034235,M2,D16384
M2_TargetCandidateOnly,9,0.6512349947976569,M2,D16384
M2_TargetCandidateOnly,10,0.6519489507966986,M2,D16384
M2_TargetCandidateOnly,11,0.6497810382085542,M2,D16384
M2_TargetCandidateOnly,12,0.6498474491139253,M2,D16384
M2_TargetCandidateOnly,13,0.6515656605673333,M2,D16384
M2_TargetCandidateOnly,14,0.649576019650946,M2,D16384
M2_TargetCandidateOnly,15,0.6484886437344054,M2,D16384
M2_TargetCandidateOnly,16,0.6488223827909678,M2,D16384
M2_TargetCandidateOnly,17,0.6483006855317702,M2,D16384
M2_TargetCandidateOnly,18,0.6478072002064437,M2,D16384
M3_ProteinTargetCandidate,1,0.6625365042127669,M3,D16384
M3_ProteinTargetCandidate,2,0.657147572375834,M3,D16384
M3_ProteinTargetCandidate,3,0.6568990106073519,M3,D16384
M3_ProteinTargetCandidate,4,0.6546209055619935,M3,D16384
M3_ProteinTargetCandidate,5,0.6532041017586986,M3,D16384
M3_ProteinTargetCandidate,6,0.6536803549776474,M3,D16384
M3_ProteinTargetCandidate,7,0.6532542252292236,M3,D16384
M3_ProteinTargetCandidate,8,0.653665972330297,M3,D16384
M3_ProteinTargetCandidate,9,0.6543272548976043,M3,D16384
M3_ProteinTargetCandidate,10,0.6530702764478823,M3,D16384
M3_ProteinTargetCandidate,11,0.6518230782045672,M3,D16384
M3_ProteinTargetCandidate,12,0.6534394289677342,M3,D16384
M3_ProteinTargetCandidate,13,0.6513354506654044,M3,D16384
M3_ProteinTargetCandidate,14,0.6505627254955471,M3,D16384
M3_ProteinTargetCandidate,15,0.6512307298835367,M3,D16384
M3_ProteinTargetCandidate,16,0.6522455515029529,M3,D16384
M3_ProteinTargetCandidate,17,0.6519209401061138,M3,D16384
M3_ProteinTargetCandidate,18,0.6519155621839067,M3,D16384
